x
[M-H]-
[2M-H]-
[3M-H]-
[4M-H]-
[M-2H]2-
[2M-2H]2-
[3M-2H]2-
[4M-2H]2-
[M-3H]3-
[2M-3H]3-
[3M-3H]3-
[4M-3H]3-
[M-2H+Na]-
[2M-2H+Na]-
[3M-2H+Na]-
[4M-2H+Na]-
[M-2H+K]-
[2M-2H+K]-
[3M-2H+K]-
[4M-2H+K]-
[M+Cl]-
[2M+Cl]-
[3M+Cl]-
[4M+Cl]-
[M-H+Cl]2-
[M+2Cl]2-
[2M-H+Cl]2-
[2M+2Cl]2-
[3M-H+Cl]2-
[3M+2Cl]2-
[4M-H+Cl]2-
[4M+2Cl]2-
[M+Cl+NaCOOH]-
[M-H+HCOONa]-
[M+Cl+HCOOH]-
[M-H+HCOOH]-
[2M-4H+Fe3+]-
[3M-4H+Fe3+]-
[4M-4H+Fe3+]-
[2M-3H+Fe2+]-
[3M-3H+Fe2+]-
[4M-3H+Fe2+]-
[2M-4H+Al3+]-
[3M-4H+Al3+]-
[4M-4H+Al3+]-
[M-H+NaCl]-
[M-H+(NaCl)2]-
[M-H+KCl]-
[M-H+(CH3)2CO-H2O]- (acetone cond.)
[M-H-HCOOH]-
[M-H-NH3]-
[M-H-H2O]-
[M-H-COCH2]-
[M-H-CO2]-
[M-H-NH3-CO2]-
[M-H-NH3-HCOOH]-
[M-H-NH3-H2O]-
[M-H-NH3-COCH2]-
[M-H-S]-
[M-H-S-NH3-HCOOH]-
[M-H-(H2O)2]-
[M-H-CH2]-
[M-H-O]-
[M-H-C2H2]-
[M-H-C2H4]-
[M-H-CO]-
[M-H-C3H6]-
[M-H-C2H4O (McLafferty)]-
[M-H-C4H6]-
[M-H-C3H4O]-
[M-H-C4H8]-
[M-H-C5H8]-
[M-H-C4H6O]-
[M-H-C5H10]-
[M-H-C6H12]-
[M-H-C4H8O2]-
[M-H-H2O-HCOOH]-
[M-H-CH4]-
[M-H-CH2O]-
[M-H-C2H6]-
[M-H-CH3OH]-
[M-H-C3H4]-
[M-H-C3H6O]-
[M-H-CO2-C3H6]-
[M-H-SO3]-
[M-H-SO3-H2O]-
[M-H-SO3-H2O-NH3]-
[M-H-NH3-C3H4]-
[M-H-H2O-CO2]-
[M-H-H2O-H2O-C2H4O (McLafferty)]-
[M-H-NH3-CO-CO]-
[M-H-NH3-CO-COCH2]-
[M-H-C8H6O]-
[M-H-C8H6O-NH3]-
[M-H-C8H6O-H2O]-
[M-H-C2H2O2]-
[M-H-C2H4O2]-
[M-H-C5H8O]-
[M-H-NH3-CO2-CH2O]-
[M-H-NH3-CO2-NH3-H2O]-
[M-H-NH3-CO2-C3H4O]-
[M-H-NH3-CO2-C5H8]-
[M-H-HCOOH-HCOOH]-
[M-H-C2H4-CO2]-
[M-H-C2H4-HCOOH]-
[M-H-NH3-H2O-H2O]-
[M-H-H2O-C2H2O2]-
[M-H-COCH2-C4H8]-
[M-H-NH3-NH3-C3H4]-
[M-H-C2H4O2-CH3OH]-
[M-H-C3H6O-CH3OH]-
[M-H-NH3-CO-COCH2-C4H6O]-
[M-H-C4H6-H2O]-
[M-H-C4H6-C2H4]-
[M-H-C4H6-NH3-H2O]-
[M-H-C4H6-COCH2]-
[M-H-C4H6-C4H6O]-
[M-H-C3H4O-C4H6]-
[M-H-C3H4O-C4H8O2]-
[M-H-C4H8-C4H6]-
[M-H-NH3-HCOOH-CH3OH]-
[M-H-NH3-C2H6]-
[M-H-NH3-C8H6O-CH2]-
[M-H-NH3-C3H4-COCH2]-
[M-H-C3H9N]-
[M-H-C3H9N-C2H4O2]-
[M-H-(H2O)3]-
[M-H-(H2O)3-CO]-
[M-H-CH3S]-
[M+C2HF3O2-H]-
[M-H+CHOONa]-
[M-H+CH3COOH+Na]-
[M-H+CH3COOH]-
[M+(CH3COOH)2+Na2-2H]-
